Wie spät ist es?,What time is it?,,lang/de_lessons/audio/wie_spät_ist_es.mp3
Es ist neun Uhr,It's nine o'clock,,lang/de_lessons/audio/es_ist_neun_uhr.mp3
Es ist zehn nach neun,It's ten past nine,,lang/de_lessons/audio/es_ist_zehn_nach_neun.mp3
Es ist Viertel nach neun,It’s quarter past nine,,lang/de_lessons/audio/es_ist_viertel_nach_neun.mp3
Es ist fünf vor halb zehn,It’s 25 past nine,,lang/de_lessons/audio/es_ist_fünf_vor_halb_zehn.mp3
Es ist halb zehn,It’s half past nine,,lang/de_lessons/audio/es_ist_halb_zehn.mp3
Es ist zwanzig vor zehn,It's 20 to ten,,lang/de_lessons/audio/es_ist_zwanzig_vor_zehn.mp3
Es ist Viertel vor zehn,It’s quarter to ten,,lang/de_lessons/audio/es_ist_viertel_vor_zehn.mp3
Es ist fünf vor zehn,It’s five to ten,,lang/de_lessons/audio/es_ist_fünf_vor_zehn.mp3
Es ist zehn Uhr morgens,It’s 10 am,,lang/de_lessons/audio/es_ist_zehn_uhr_morgens.mp3
Es ist fünf Uhr abends,It’s 5 pm,,lang/de_lessons/audio/es_ist_fünf_uhr_abends.mp3
Es ist siebzehn Uhr dreißig,It’s 17:30,,lang/de_lessons/audio/es_ist_siebzehn_uhr_dreißig.mp3
in 60 Sekunden,in 60 seconds,,lang/de_lessons/audio/in_60_sekunden.mp3
in zwei Minuten,in two minutes,,lang/de_lessons/audio/in_zwei_minuten.mp3
in einer Stunde,in an hour,,lang/de_lessons/audio/in_einer_stunde.mp3
in halben Stunde,in half an hour,,lang/de_lessons/audio/in_halben_stunde.mp3
in einer Viertelstunde,in a quarter of an hour,,lang/de_lessons/audio/in_einer_viertelstunde.mp3
