der Unfall,accident,,lang/de_lessons/audio/der_unfall.mp3
die Panne,breakdown,,lang/de_lessons/audio/die_panne.mp3
der Zusammenstoß,collision,,lang/de_lessons/audio/der_zusammenstoß.mp3
der platte Reifen,flat tyre,,lang/de_lessons/audio/der_platte_reifen.mp3
kaputtgehen,to break down,,lang/de_lessons/audio/kaputtgehen.mp3
einen Unfall haben,to have an accident,,lang/de_lessons/audio/einen_unfall_haben.mp3
einen platten Reifen haben,to have a flat tyre,,lang/de_lessons/audio/einen_platten_reifen_haben.mp3
den Reifen wechseln,to change a tyre,,lang/de_lessons/audio/den_reifen_wechseln.mp3
abschleppen,to tow,,lang/de_lessons/audio/abschleppen.mp3
der Airbag,airbag,,lang/de_lessons/audio/der_airbag.mp3
das Frostschutzmittel,antifreeze,,lang/de_lessons/audio/das_frostschutzmittel.mp3
das Notruftelefon,emergency phone,,lang/de_lessons/audio/das_notruftelefon.mp3
die Garage,garage,,lang/de_lessons/audio/die_garage.mp3
die Warnweste,hi-viz,,lang/de_lessons/audio/die_warnweste.mp3
der Wagenheber,jack,,lang/de_lessons/audio/der_wagenheber.mp3
die Starthilfekabel,jump leads,,lang/de_lessons/audio/die_starthilfekabel.mp3
der Mechaniker/die Mechanikerin,mechanic,,lang/de_lessons/audio/der_mechaniker-die_mechanikerin.mp3
die Schneeketten,snow chains,,lang/de_lessons/audio/die_schneeketten.mp3
das Reserverad,spare wheel,,lang/de_lessons/audio/das_reserverad.mp3
der Abschleppwagen,tow truck,,lang/de_lessons/audio/der_abschleppwagen.mp3
das Warndreieck,warning triangle,,lang/de_lessons/audio/das_warndreieck.mp3
