oui	yes		lang/fr_lessons/audio/oui.mp3
non	no		lang/fr_lessons/audio/non.mp3
ça va?	how are you?		lang/fr_lessons/audio/ça_va.mp3
ça va	things are fine		lang/fr_lessons/audio/ça_va.mp3
bien	well		lang/fr_lessons/audio/bien.mp3
ça va bien	things are going well		lang/fr_lessons/audio/ça_va_bien.mp3
merci	thank you		lang/fr_lessons/audio/merci.mp3
ça va bien, merci	I’m fine, thanks		lang/fr_lessons/audio/ça_va_bien_merci.mp3
et toi?	and you?		lang/fr_lessons/audio/et_toi.mp3
très	very		lang/fr_lessons/audio/très.mp3
ça va très bien	things are going very well		lang/fr_lessons/audio/ça_va_très_bien.mp3
ça va très bien, merci	things are going very well, thanks		lang/fr_lessons/audio/ça_va_très_bien_merci.mp3
excellent	excellent		lang/fr_lessons/audio/excellent.mp3
ça ne va pas	things aren’t going well		lang/fr_lessons/audio/ça_ne_va_pas.mp3
je suis en forme	I’m feeling good		lang/fr_lessons/audio/je_suis_en_forme.mp3
je suis fatigué	I’m tired	(masculine)	lang/fr_lessons/audio/je_suis_fatigué.mp3
je suis fatiguée	I’m tired 	(feminine)	lang/fr_lessons/audio/je_suis_fatiguée.mp3
comment ça va?	how are things?		lang/fr_lessons/audio/comment_ça_va.mp3
ça roule?	how's it going?		lang/fr_lessons/audio/ça_roule.mp3
génial	great		lang/fr_lessons/audio/génial.mp3
comme ci, comme ça	so so		lang/fr_lessons/audio/comme_ci_comme_ça.mp3
je ne suis pas en forme	I’m not on form		lang/fr_lessons/audio/je_ne_suis_pas_en_forme.mp3
